Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-01-01,1,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51717.21232404102,48884.19921875,1973513.8109496236
2006-01-01,1,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13723.796852487481,12483.599609375,502256.39886821806
2006-01-02,2,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51733.31091345693,48708.1015625,1968322.0619009733
2006-01-02,2,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13737.716577577632,11065.400390625,444854.55747038126
2006-01-03,3,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51748.75089026959,48355.30078125,1964453.4626258165
2006-01-03,3,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13751.374425431215,12249.2998046875,492483.12107659876
2006-01-04,4,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51763.527544930774,49248.5,1999267.5283412933
2006-01-04,4,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13764.766230090308,12005.2001953125,482252.48776366934
2006-01-05,5,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51777.63637022068,49377.80078125,2000304.6099216044
2006-01-05,5,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13777.887906746277,12950.099609375,521055.02159871906
2006-01-06,6,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51791.07306262289,48571.6015625,1967702.0154291391
2006-01-06,6,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13790.735452985742,12263.0,492017.32247924805
2006-01-07,7,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51803.83352363698,47770.80078125,1935414.8302253336
2006-01-07,7,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13803.304950011414,12236.5,486643.13663864136
2006-01-08,8,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51815.91386102867,48405.80078125,1961557.994080931
