Date,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
2014-07-01,7,2014,PKM Cochin ULC,Cochin pipeline,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,0.5328330779476064,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2014-07-01,7,2014,PKM Cochin ULC,Cochin pipeline,Regina,50.466,-104.718,east,import,refined petroleum products,0.014601187488371161,,,
2014-07-01,7,2014,PKM Cochin ULC,Cochin pipeline,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0013693421353688452,,12.083033973516851,
2014-08-01,8,2014,PKM Cochin ULC,Cochin pipeline,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,0.5771854029913129,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2014-08-01,8,2014,PKM Cochin ULC,Cochin pipeline,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
2014-09-01,9,2014,PKM Cochin ULC,Cochin pipeline,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,10.899463698776733,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2014-09-01,9,2014,PKM Cochin ULC,Cochin pipeline,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
2014-10-01,10,2014,PKM Cochin ULC,Cochin pipeline,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,11.33209597800058,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2014-10-01,10,2014,PKM Cochin ULC,Cochin pipeline,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
2014-11-01,11,2014,PKM Cochin ULC,Cochin pipeline,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,10.217948785212565,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
