Date,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
2007-01-01,1,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.573223276484229,7.155,5.473684210526316,A
2007-02-01,2,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.274023314330223,7.155,5.473684210526316,A
2007-03-01,3,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.693615300814499,7.155,5.473684210526316,A
2007-04-01,4,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.4976292801793325,7.155,5.473684210526316,A
2007-05-01,5,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.2892770218030676,7.155,5.473684210526316,A
2007-06-01,6,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.304735356866455,7.155,5.473684210526316,A
2007-07-01,7,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.237798006681574,7.155,5.473684210526316,A
2007-08-01,8,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.04401022271911,7.155,5.473684210526316,A
2007-09-01,9,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.0697316572759936,7.155,5.473684210526316,A
2007-10-01,10,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,2.9606065371956434,7.155,5.473684210526316,A
2007-11-01,11,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.1790129797469,7.155,5.473684210526316,A
2007-12-01,12,2007,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.36221450169434,7.155,5.473684210526316,A
2008-01-01,1,2008,Enbridge Pipelines (NW) Inc.,"Enbridge Norman Wells pipeline
",Zama,59.067,-118.852,south,intracanada,domestic light,3.183901727292893,7.155,5.473684210526316,A
