OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Reforming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
262,83,TOTALENERGIES PETROCHEM & REFG USA,TOTALENERGIES SE,PORT ARTHUR,Texas,3,245,117,80,0,0,43,15.3,274.5,60,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.96046,-93.88847,1,-10451616.6718,3498468.357
263,84,ALON USA ENERGY INC,DELEK GROUP LTD,BIG SPRING,Texas,3,74,28,23.5,0,0,21.5,5,60.8,0,7.6,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.270992,-101.415073,,-11289474.2851,3798935.3406
264,87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CATLETTSBURG,Kentucky,2,316,134,109,0,0,58,44,281.5,0,35.4,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.376602,-82.596408,,-9194590.0799,4632764.5032
265,89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CANTON,Ohio,2,105,35,24,0,0,23.5,8.5,98,0,17,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.772929,-81.413878,,-9062951.4425,4978906.217
266,92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,SAINT PAUL,Minnesota,2,111,51,33.5,0,0,23.5,22.5,98,0,19.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",44.851007,-92.994345,1,-10352083.1321,5598096.0061
267,97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,CARSON,California,5,384.5,205,110,99.5,0,83,71.5,305,109.1,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.818578,-118.236677,1,-13162046.6767,4004467.4208
268,98,BP PRODUCTS NORTH AMERICA INC,BP PLC,FERNDALE,Washington,5,251,139,0,65,0,65.4,26,179.9,61.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",48.884624,-122.734766,1,-13662771.6538,6255307.1274
269,99,CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,PRUDHOE BAY,Alaska,5,16,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",70.324832,-149.604069,,-16653848.7817,11175273.459
270,100,HILCORP NORTH SLOPE LLC,HILCORP ENERGY CO,PRUDHOE BAY,Alaska,5,8,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",70.253586,-148.37813,,-16517377.8765,11151758.1255
271,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",PRINCETON,Louisiana,3,8.655,7,0,0,0,0,0,9.5,0,2,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.59107,-93.511874,,-10409694.1968,3841150.2889
272,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",COTTON VALLEY,Louisiana,3,14,0,0,0,0,0,0.5,6.5,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.798531,-93.411128,,-10398479.2034,3868592.7543
273,115,CHS MCPHERSON REFINERY INC,CHS INC,MCPHERSON,Kansas,2,117.1,52.5,25.3,43,0,28.5,25,89.4,27.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.341628,-97.67768,1,-10873429.5995,4627799.4391
274,116,CENEX HARVEST STATES COOP,CHS INC,LAUREL,Montana,4,64,32.2,16.5,0,0,12.5,5.25,62,16,19.8,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",45.658374,-108.7681,1,-12108009.5066,5725771.4097
275,119,CHEVRON USA INC,CHEVRON CORP,EL SEGUNDO,California,5,290.5,169.1,73.8,55,0,49,66.1,169.5,76.7,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.911422,-118.410994,1,-13181451.5564,4016914.3572
276,120,CHEVRON USA INC,CHEVRON CORP,RICHMOND,California,5,257.2,123.456,90,103.4,0,71.3,85.862,382.2,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",37.94978,-122.398665,1,-13625357.0616,4572333.8383
277,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,EL PASO,Texas,3,140,55.5,35,0,0,30,16.5,130,0,4,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",31.767512,-106.395613,,-11843905.4618,3732831.5047
278,124,CHEVRON USA INC,CHEVRON CORP,SALT LAKE CITY,Utah,4,57.6,27.9,15.5,0,0,9.1,6.618,50.3,10,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.824744,-111.923936,1,-12459315.5631,4986525.7103
