Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-01-01,1,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3342.3,127007.40000000001
2006-01-01,1,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,12973.4,492989.2
2006-01-02,2,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,4161.4,158133.19999999998
2006-01-02,2,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,13706.4,520843.2
2006-01-03,3,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3917.0,148846.0
2006-01-03,3,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,15000.300000000001,570011.4
2006-01-04,4,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,4558.09,173207.42
2006-01-04,4,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,14715.7,559196.6
2006-01-05,5,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,5522.89,209869.82
2006-01-05,5,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,15220.099999999999,578363.7999999999
2006-01-06,6,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3389.54,128802.52
2006-01-06,6,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,14518.7,551710.6
2006-01-07,7,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3234.17,122898.46
2006-01-07,7,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,13951.0,530138.0
2006-01-08,8,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3541.37,134572.06
2006-01-08,8,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,14050.1,533903.8
2006-01-09,9,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3367.93,127981.34
2006-01-09,9,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,13559.6,515264.8
2006-01-10,10,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,4908.22,186512.36000000002
2006-01-10,10,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,15487.999999999998,588543.9999999999
2006-01-11,11,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,3040.88,115553.44
2006-01-11,11,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,11706.199999999999,444835.6
2006-01-12,12,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,1343.9,51068.200000000004
2006-01-12,12,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",Saint Lazare,45.3713,-74.1249,east,intracanada,19690.0,9899.3,376173.39999999997
2006-01-13,13,1,2006,Trans Québec and Maritimes Pipeline Inc.,"Trans Québec & Maritimes (TQM) pipeline
",East Hereford,45.033,-71.5,south,export,5600.0,1996.6,75870.8
