Date,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Original Nominations (1000 m3/d),Accepted Nominations (1000 m3/d),Apportionment Percentage
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,43.0,,0.19
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,74.0,,0.52
2006-03-01,3,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,106.0,,0.65
2006-04-01,4,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,39.0,,0.1
2006-05-01,5,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,29.0,,0.0
2006-06-01,6,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,37.0,,0.02
2006-07-01,7,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,37.0,,0.0
2006-08-01,8,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,37.0,,0.0
2006-09-01,9,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,49.0,,0.2
2006-10-01,10,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,36.0,,0.02
2006-11-01,11,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,43.0,,0.14
2006-12-01,12,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,46.0,,0.34
2007-01-01,1,2007,Enbridge Pipelines (NW) Inc.,Norman Wells pipeline,Zama,59.067,-118.852,3.7,,0.0
2007-01-01,1,2007,Enbridge Pipelines Inc.,Enbridge Canadian Mainline,system,,,348.9225483870967,,0.0
2007-01-01,1,2007,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,42.0,,0.13
2007-02-01,2,2007,Enbridge Pipelines (NW) Inc.,Norman Wells pipeline,Zama,59.067,-118.852,3.5,,0.0
2007-02-01,2,2007,Enbridge Pipelines Inc.,Enbridge Canadian Mainline,system,,,356.19782142857173,,0.0
2007-02-01,2,2007,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,37.0,,0.05
2007-03-01,3,2007,Enbridge Pipelines (NW) Inc.,Norman Wells pipeline,Zama,59.067,-118.852,3.7,,0.0
2007-03-01,3,2007,Enbridge Pipelines Inc.,Enbridge Canadian Mainline,system,,,358.9313548387101,,0.0
2007-03-01,3,2007,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,35.0,,0.0
2007-04-01,4,2007,Enbridge Pipelines (NW) Inc.,Norman Wells pipeline,Zama,59.067,-118.852,3.5,,0.0
2007-04-01,4,2007,Enbridge Pipelines Inc.,Enbridge Canadian Mainline,system,,,341.2903333333335,,0.0
2007-04-01,4,2007,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,46.0,,0.13
2007-05-01,5,2007,Enbridge Pipelines (NW) Inc.,Norman Wells pipeline,Zama,59.067,-118.852,3.4,,0.0
2007-05-01,5,2007,Enbridge Pipelines Inc.,Enbridge Canadian Mainline,system,,,324.4813225806454,,0.0
2007-05-01,5,2007,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,49.0,,0.16
2007-06-01,6,2007,Enbridge Pipelines (NW) Inc.,Norman Wells pipeline,Zama,59.067,-118.852,3.3,,0.0
2007-06-01,6,2007,Enbridge Pipelines Inc.,Enbridge Canadian Mainline,system,,,326.40156666666655,,0.0
2007-06-01,6,2007,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,67.0,,0.37
