"","Year","Supply_Thousand_bpd"
"1",2012,3100
"2",2013,3300
"3",2014,3500
"4",2015,3650
"5",2016,3800
"6",2017,3975
"7",2018,4150
"8",2019,4025
"9",2020,3900
"10",2021,4150
"11",2022,4400
"12",2023,4625
"13",2024,4850
"14",2025,5050
"15",2026,5050
"16",2027,5050
"17",2028,5050
"18",2029,5042
"19",2030,5033
"20",2031,5025
"21",2032,5017
"22",2033,5008
"23",2034,5000
"24",2035,4950
"25",2036,4900
"26",2037,4850
"27",2038,4800
"28",2039,4750
"29",2040,4700
"30",2041,4675
"31",2042,4650
"32",2043,4625
"33",2044,4600
"34",2045,4575
"35",2046,4550
"36",2047,4525
"37",2048,4500
"38",2049,4475
"39",2050,4450
